spectrum_id,spectrum,category,wavenumbers,snr,resolution,artifacts
RS_0000,[0.47585903 0.47399301 0.47396588 ... 0.18962647 0.18957169 0.18996815],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],125.1866258579162,2,"{'cosmic_spike': False, 'fluorescence': False}"
RS_0001,[0.         0.00056019 0.001365   ... 0.03792874 0.0374932  0.03779228],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],130.65401849424194,2,"{'cosmic_spike': False, 'fluorescence': True}"
RS_0002,[0.02674333 0.02673678 0.02623422 ... 0.63023616 0.63153115 0.6345485 ],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],135.75506232494013,2,"{'cosmic_spike': False, 'fluorescence': True}"
RS_0003,[0.08308331 0.08141413 0.08174349 ... 0.0015591  0.00084447 0.        ],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],118.52678478022074,2,"{'cosmic_spike': False, 'fluorescence': True}"
RS_0004,"[0.00000000e+00 4.40434762e-05 6.76274592e-04 ... 4.61109391e-01
 4.61697089e-01 4.61049497e-01]",pharmaceutical,[ 100  102  104 ... 3194 3196 3198],89.58123759260059,2,"{'cosmic_spike': False, 'fluorescence': False}"
RS_0005,[0.03987845 0.03985981 0.03967745 ... 0.05772443 0.05714476 0.05683381],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],146.98367626699059,2,"{'cosmic_spike': False, 'fluorescence': False}"
RS_0006,[0.6556566  0.56932853 0.55875455 ... 0.37103262 0.36819997 0.33798168],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],13.889773427002652,2,"{'cosmic_spike': False, 'fluorescence': True}"
RS_0007,[0.00520303 0.         0.00511599 ... 1.         0.99534009 0.99774718],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],41.999371661366894,2,"{'cosmic_spike': False, 'fluorescence': True}"
RS_0008,[0.15730175 0.17085592 0.17308173 ... 0.         0.01107698 0.01828896],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],43.924480649580104,2,"{'cosmic_spike': False, 'fluorescence': False}"
RS_0009,[0.         0.00100361 0.00234634 ... 0.26615503 0.26468121 0.26302288],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],97.88612044752901,2,"{'cosmic_spike': False, 'fluorescence': True}"
